10/94,-4.612,-1.38,10.445824,5.2731260096
11/94,-4.7985,-5.27,0.22231225,1.8897854158
12/94,-4.1078333333,-4.11,4.69444444444437E-006,-1.7648743629
01/95,-3.8668333333,-4.63,0.5824233611,-12.1512879017
02/95,-4.0361666667,-5.25,1.4733913611,1.9527989846
03/95,-3.3928333333,-5.31,3.6755280278,1.7772433302
04/95,-4.2338333333,-6.41,4.7357013611,1.008095219
05/95,-2.7203333333,-3.15,0.1846134444,-1.0000353428
06/95,-0.5575,-0.28,0.07700625,1.0405227005
07/95,-0.819,-0.69,0.016641,1.2966031338
08/95,-0.7921666667,-2.79,3.9913380278,-1.0651607801
09/95,-2.1623333333,-4.27,4.4422587778,-2.3359045642
10/95,-2.5435,-2.57,0.00070225,-1.1890034387
11/95,-4.9796666667,-4.93,0.0024667778,4.6318254002
12/95,-5.3516666667,-3.31,4.1684027778,-1.0143500449
01/96,-4.7028333333,-1.02,13.5632613611,1.9107089363
02/96,-3.6215,-2.96,0.43758225,-1.0167175687
03/96,-4.3781666667,-3.32,1.1197166944,-1.0161284201
04/96,-4.5386666667,-4.68,0.0199751111,-30.8800971976
05/96,-3.2116666667,-2.33,0.7773361111,-1.452761948
06/96,-2.5276666667,-2.07,0.2094587778,-2.0888751881
07/96,0.7121666667,1.4,0.4731146944,5.8834900848
08/96,-0.5593333333,1.03,2.5259804444,1.9424308371
09/96,-1.8096666667,-5.79,15.8430534444,1.1352937549
10/96,-3.6138333333,-3.32,0.0863380278,-1.0161284201
11/96,-3.792,-0.65,9.872164,1.2561491665
12/96,-4.7076666667,-5.66,0.9069387778,1.2314913691
01/97,-3.5798333333,-4.08,0.2501666944,-1.6918371522
02/97,-4.2415,-5.33,1.18483225,1.7268497859
03/97,-5.6016666667,-1.92,13.5546694444,-2.9226977045
04/97,-2.9975,-0.76,5.00640625,1.3796224045
05/97,-3.8823333333,1.47,28.6474721111,9.9378157688
06/97,-2.7528333333,-0.72,4.1324113611,1.3301308586
07/97,-1.2395,-1.17,0.00483025,2.5631056848
08/97,0.7188333333,1.13,0.1690580278,2.3437876768
09/97,-1.1645,-1.72,0.30858025,-6.7271798799
10/97,-4.3576666667,-1.62,7.4948187778,-20.3318888423
11/97,-5.2205,-5.53,0.09579025,1.3707757404
12/97,-4.5205,-7.88,11.28624025,-38.4387256996
01/98,-4.5691666667,-6.43,3.4627006944,1.0108749243
02/98,-4.2545,-8.8,20.66157025,-1.2329042202
03/98,-4.2771666667,-6.84,6.5681146944,1.1779356614
04/98,-5.3405,-8.76,11.69298025,-1.2705612109
05/98,-3.5996666667,-1.51,4.3667067778,16.4584992339
06/98,-0.8575,-4.87,16.10015625,6.3710788653
07/98,-0.143,-3.61,12.020089,-1.1207138254
08/98,-1.8143333333,-4.95,9.8324054444,4.2484232718
09/98,-2.2231666667,-5.86,13.2265566944,1.096749219
10/98,-3.8656666667,-4.36,0.2443654444,-2.897366837
11/98,-4.0823333333,-3.31,0.5964987778,-1.0143500449
12/98,-4.605,-3.04,2.449225,-1.0051828198
01/99,-5.0001666667,-4.96,0.0016133611,4.0801580891
02/99,-3.7225,-0.11,13.05015625,1.0060806529
03/99,-3.7138333333,-4.84,1.2682513611,7.8576228268
04/99,-4.3796666667,-1.16,10.3662534444,2.5041347684
05/99,-3.8893333333,-0.63,10.6232537778,1.237581629
06/99,-1.3063333333,-0.45,0.7333067778,1.110559407
07/99,0.2666666667,-2.03,5.2746777778,-2.256142494
08/99,-1.7626666667,-0.8,0.9267271111,1.4353241997
09/99,-4.9785,-5.18,0.04060225,2.218499797
10/99,-4.4903333333,-6.94,6.0008667778,1.2627200323
11/99,-4.4845,-5.41,0.85655025,1.5566900008
12/99,-5.6986666667,-2.01,13.6062617778,-2.3517301622
01/00,-4.1683333333,-1.49,7.1734694444,12.3902765961
02/00,-4.0443333333,-4.54,0.2456854444,-5.8296662447
03/00,-5.722,-4.57,1.327104,-7.0468031365
04/00,-3.7918333333,-6.2,5.7992666944,1.0034699016
05/00,-1.1693333333,-5.05,15.0595737778,3.0190144756
06/00,0.3131666667,-0.37,0.4667166944,1.0725846504
07/00,0.0165,-0.79,0.65044225,1.4207667193
08/00,-2.6913333333,-2.58,0.0123951111,-1.1814632557
09/00,-3.6918333333,-3.84,0.0219533611,-1.3057093418
10/00,-3.8136666667,-4.22,0.1651067778,-2.1153615865
11/00,-5.4405,-4.36,1.16748025,-2.897366837
12/00,-4.9636666667,-5.21,0.0606801111,2.094997033
01/01,-4.697,-2.04,7.059649,-2.2115274615
02/01,-3.4778333333,-4.5,1.0448246944,-4.7439275484
03/01,-4.6288333333,-2.44,4.7909913611,-1.3092171998
04/01,-4.7456666667,-6.61,3.4757387778,1.0558884736
05/01,-3.4526666667,-6.06,6.7981871111,1.025433445
